Application_ID,Applicant_ID,Business_Sector,Business_Location,Business_Age,Number_of_Employees,Annual_Revenue,Application_Date,Monthly_Income,Monthly_Expenses,Cash_Flow,Loan_Amount,Loan_Tenure,Existing_Debt,Collateral_Value,Debt_to_Income,DSCR,Credit_History,Previous_Default,Previous_Loan_Count,Previous_Late_Payment,Credit_Score,Application_Status,Rejection_Reason,Processing_Time,Default_Flag,Days_Past_Due,Repayment_Status
APP00001,SME00001,Agriculture,Rajshahi,3.3,10,2124714,2025-07-04,58931,34958,23973,983000,48,506389,1330637,1.06,1.17,2.1,1,0,3,480,Rejected,Previous default record,9,NA,NA,NA
APP00002,SME00002,Agriculture,Chattogram,10.5,3,480901,2026-07-09,10925,7640,3285,111000,36,430692,109358,3.57,1.07,8.3,0,5,1,678,Rejected,High debt-to-income,2.6,NA,NA,NA
APP00003,SME00003,Retail,Rajshahi,6.2,9,1172388,2026-03-15,34124,26592,7532,606000,48,34684,473571,0.45,0.6,3.5,0,3,1,733,Rejected,Insufficient collateral,8.7,NA,NA,NA
APP00004,SME00004,Services,Khulna,2.2,9,6345113,2025-04-30,153043,67801,85242,3076000,48,980308,2489267,0.95,1.33,1.9,1,2,7,406,Rejected,Previous default record,9,NA,NA,NA
APP00005,SME00005,Manufacturing,Chattogram,8.4,10,2224689,2024-12-21,32136,25305,6831,447000,36,26501,577615,0.46,0.55,7.8,1,5,3,587,Rejected,Previous default record,3.5,NA,NA,NA
APP00006,SME00006,Manufacturing,Khulna,6.6,21,2440490,2026-05-14,40723,19007,21716,368000,48,254332,517828,0.71,2.83,6.5,0,3,0,649,Rejected,High debt-to-income,4.4,NA,NA,NA
APP00007,SME00007,Services,Chattogram,3.7,17,871264,2024-06-19,12611,8652,3959,396000,24,45511,250796,1.61,0.3,2.6,0,2,0,648,Rejected,Insufficient collateral,7.2,NA,NA,NA
APP00008,SME00008,Trading,Barishal,5.7,29,2352735,2026-04-22,47224,29322,17902,763000,48,43798,857826,0.41,1.13,3.3,0,2,0,610,Rejected,High debt-to-income,6.1,NA,NA,NA
APP00009,SME00009,Manufacturing,Dhaka,1.8,11,1956771,2026-06-04,48079,24852,23227,680000,12,366188,492399,1.81,0.41,1.8,1,2,1,524,Rejected,Previous default record,5.8,NA,NA,NA
APP00010,SME00010,Services,Khulna,3.1,11,5265483,2025-06-08,69841,51622,18219,1089000,12,159196,698779,1.49,0.3,2.3,0,3,0,657,Rejected,Insufficient collateral,10.1,NA,NA,NA
APP00011,SME00011,Retail,Dhaka,10.2,6,3218621,2025-08-28,55355,34145,21210,1674000,36,167525,1212770,1.09,0.46,6.9,0,5,2,640,Rejected,Insufficient collateral,4.3,NA,NA,NA
APP00012,SME00012,Services,Rajshahi,4.8,3,1899480,2024-08-22,42069,20100,21969,565000,60,89526,533741,0.4,2.33,3.1,0,1,0,710,Rejected,Insufficient collateral,9.4,NA,NA,NA
APP00013,SME00013,Agriculture,Chattogram,3.6,1,1816100,2026-01-29,51770,22477,29293,716000,48,106330,477269,0.46,1.96,2.7,0,2,1,625,Rejected,Insufficient collateral,6.5,NA,NA,NA
APP00014,SME00014,Trading,Barishal,7,3,760786,2026-08-14,19842,13610,6232,161000,36,117769,167366,0.72,1.39,5.1,1,1,2,523,Rejected,Previous default record,5,NA,NA,NA
APP00015,SME00015,Retail,Chattogram,2.9,3,2550317,2024-11-13,48558,32946,15612,965000,12,1601178,1493990,4.4,0.3,1.5,0,0,0,617,Rejected,High debt-to-income,5.7,NA,NA,NA
APP00016,SME00016,Textiles,Rajshahi,7,6,1816542,2026-02-11,38020,26061,11959,804000,60,770629,1136365,2.04,0.89,4.2,0,1,0,593,Rejected,High debt-to-income,7.2,NA,NA,NA
APP00017,SME00017,Textiles,Khulna,6.5,10,7632552,2026-03-05,158511,86562,71949,1884000,48,604647,2481287,0.57,1.83,3.7,0,1,0,709,Rejected,High debt-to-income,8.1,NA,NA,NA
APP00018,SME00018,Trading,Barishal,8.1,36,4432575,2024-08-20,103711,53313,50398,2540000,36,440510,1663432,1.03,0.71,4.4,0,2,1,593,Rejected,Insufficient collateral,6.8,NA,NA,NA
APP00019,SME00019,Retail,Rajshahi,15.7,6,1303770,2026-06-15,27440,18250,9190,367000,12,175256,517523,1.65,0.3,15.7,0,7,0,676,Rejected,High debt-to-income,3,NA,NA,NA
APP00020,SME00020,Manufacturing,Khulna,4.5,2,1499001,2025-12-08,43673,25187,18486,694000,48,316125,839582,0.93,1.28,2.3,0,1,0,595,Rejected,Incomplete documentation,4.4,NA,NA,NA
APP00021,SME00021,Agriculture,Rajshahi,2.8,7,1399155,2024-12-29,29649,14672,14977,295000,48,8147,342064,0.23,2.44,2.3,1,3,0,597,Approved,NA,22.4,0,0,Current
APP00022,SME00022,Trading,Rajshahi,5.5,60,1670786,2025-07-29,46347,37800,8547,422000,12,90834,539150,0.92,0.3,5.3,1,4,1,608,Rejected,Previous default record,3,NA,NA,NA
APP00023,SME00023,Textiles,Chattogram,9.1,21,8497802,2024-05-28,125932,106720,19212,3038000,24,229025,2381869,1.16,0.3,6.9,0,6,2,653,Rejected,Insufficient collateral,13.1,NA,NA,NA
APP00024,SME00024,Textiles,Barishal,7.4,9,1999822,2025-07-02,37902,17927,19975,1075000,12,118842,1367690,2.62,0.3,5.2,0,0,0,548,Rejected,High debt-to-income,11.4,NA,NA,NA
APP00025,SME00025,Trading,Barishal,12.6,5,1645805,2024-03-14,42820,31737,11083,640000,48,105095,992130,0.52,0.83,8.1,0,3,0,791,Rejected,Incomplete documentation,4.6,NA,NA,NA
APP00026,SME00026,Manufacturing,Khulna,2.7,9,1597280,2026-02-04,32038,21873,10165,610000,60,113903,931037,0.61,1,1.6,0,1,0,613,Rejected,High debt-to-income,9.4,NA,NA,NA
APP00027,SME00027,Retail,Rajshahi,10,12,3530419,2026-01-26,78828,65093,13735,1397000,12,75694,1022708,1.56,0.3,9.1,0,5,0,660,Rejected,Insufficient collateral,15.2,NA,NA,NA
APP00028,SME00028,Agriculture,Khulna,3.9,2,630290,2024-12-02,16657,8507,8150,112000,24,313183,129843,1.85,1.75,3.9,0,2,0,653,Rejected,High debt-to-income,4.6,NA,NA,NA
APP00029,SME00029,Retail,Rajshahi,1.9,5,1987807,2024-03-23,32503,15821,16682,1180000,36,271334,1496112,1.7,0.51,1.2,0,0,1,571,Rejected,High debt-to-income,6.5,NA,NA,NA
APP00030,SME00030,Services,Chattogram,9.9,4,6651683,2026-03-02,162674,104315,58359,3692000,36,310111,3655121,0.79,0.57,6.1,0,2,0,602,Rejected,Insufficient collateral,10.7,NA,NA,NA
APP00031,SME00031,Services,Barishal,2.2,6,2668111,2026-01-06,41463,34127,7336,786000,24,771512,1139258,2.34,0.3,1.2,0,0,0,560,Rejected,High debt-to-income,3.3,NA,NA,NA
APP00032,SME00032,Services,Barishal,2,3,3044427,2024-10-13,40947,21082,19865,855000,60,14575,797683,0.38,1.39,1.7,0,1,1,617,Rejected,Insufficient collateral,9.8,NA,NA,NA
APP00033,SME00033,Retail,Sylhet,19.4,19,1035145,2024-09-16,20828,10110,10718,294000,24,77279,306743,0.9,0.87,14.3,0,4,0,701,Rejected,High debt-to-income,8.3,NA,NA,NA
APP00034,SME00034,Manufacturing,Barishal,19.5,28,385954,2025-02-21,4837,2689,2148,143000,12,590995,106617,12.65,0.3,11.7,0,6,0,707,Rejected,High debt-to-income,12.2,NA,NA,NA
APP00035,SME00035,Trading,Dhaka,6.1,4,2179061,2025-05-31,63366,44431,18935,1244000,60,183038,1565695,0.57,0.91,5.4,0,2,0,710,Approved,NA,6.2,0,0,Current
APP00036,SME00036,Services,Sylhet,14.1,12,7324860,2026-03-10,208816,129396,79420,3076000,12,145831,4485883,1.29,0.31,11.9,0,4,0,683,Rejected,High debt-to-income,9.9,NA,NA,NA
APP00037,SME00037,Trading,Sylhet,9.2,8,6570996,2025-09-03,170970,122784,48186,3836000,48,69174,3680288,0.5,0.6,8.9,0,5,0,707,Approved,NA,4.7,0,0,Current
APP00038,SME00038,Trading,Dhaka,8,30,1096039,2025-03-03,23745,14159,9586,179000,48,44789,124704,0.31,2.57,4.8,0,3,1,631,Approved,NA,5.6,0,0,Current
APP00039,SME00039,Agriculture,Sylhet,4.5,2,3565291,2026-04-03,60780,35313,25467,1480000,36,113905,1754081,0.83,0.62,3.6,0,0,1,692,Rejected,High debt-to-income,7.2,NA,NA,NA
APP00040,SME00040,Manufacturing,Chattogram,9.2,5,4390383,2024-03-03,86627,39306,47321,1287000,24,613593,1291570,1.21,0.88,6.1,0,3,0,725,Approved,NA,7.6,0,0,Current
APP00041,SME00041,Retail,Chattogram,27,3,3551831,2024-01-29,101942,41200,60742,1062000,48,41746,1478381,0.25,2.75,20.6,0,9,0,795,Approved,NA,3,0,0,Current
APP00042,SME00042,Retail,Sylhet,2.6,10,3229928,2026-08-06,67153,32574,34579,860000,48,240992,658317,0.57,1.93,1.3,0,0,0,652,Approved,NA,17.6,0,0,Current
APP00043,SME00043,Trading,Barishal,0.6,6,4534107,2024-09-19,93962,71666,22296,1830000,48,628183,2586334,0.96,0.58,0.6,0,0,0,621,Rejected,High debt-to-income,4.4,NA,NA,NA
APP00044,SME00044,Textiles,Rajshahi,3.9,7,1206291,2025-05-18,22150,10845,11305,630000,48,172523,1003412,1.24,0.86,2.7,0,1,0,648,Rejected,High debt-to-income,12.8,NA,NA,NA
APP00045,SME00045,Retail,Rajshahi,2.2,9,2669545,2024-10-07,75719,41445,34274,980000,60,479180,846709,0.74,2.1,1.2,0,1,0,653,Rejected,Insufficient collateral,2,NA,NA,NA
APP00046,SME00046,Textiles,Sylhet,3.5,6,2259939,2025-04-28,63904,42737,21167,1117000,12,74964,1244959,1.55,0.3,1.8,0,0,0,560,Rejected,High debt-to-income,7.5,NA,NA,NA
APP00047,SME00047,Agriculture,Chattogram,3.5,8,9246303,2024-10-26,166341,97211,69130,5001000,12,150852,6283543,2.58,0.3,2.9,0,2,1,641,Rejected,High debt-to-income,10,NA,NA,NA
APP00048,SME00048,Manufacturing,Sylhet,2.2,10,3066648,2024-03-26,67972,27889,40083,1017000,36,90692,1216293,0.53,1.42,2,0,0,2,569,Rejected,Incomplete documentation,19.2,NA,NA,NA
APP00049,SME00049,Textiles,Rajshahi,1.4,5,612898,2026-02-21,12814,7314,5500,290000,24,94857,446130,1.56,0.46,0.9,1,1,2,489,Rejected,Previous default record,4.4,NA,NA,NA
APP00050,SME00050,Manufacturing,Rajshahi,0.7,8,3214281,2026-03-25,49985,30072,19913,1122000,36,54912,1508094,0.72,0.64,0.5,0,0,0,655,Rejected,High debt-to-income,10.2,NA,NA,NA
APP00051,SME00051,Retail,Dhaka,2.5,5,3077460,2025-01-26,50314,40954,9360,1407000,48,224506,1477276,0.95,0.32,2.1,0,2,0,578,Rejected,High debt-to-income,7.9,NA,NA,NA
APP00052,SME00052,Retail,Chattogram,10.1,7,2595728,2025-07-08,64533,45655,18878,1282000,24,237101,993052,1.13,0.35,5.3,0,3,1,626,Rejected,Insufficient collateral,5.4,NA,NA,NA
APP00053,SME00053,Retail,Chattogram,3.4,20,1722107,2025-01-07,48772,19732,29040,618000,24,158239,533735,0.8,1.13,2.8,0,0,1,648,Rejected,Insufficient collateral,7.9,NA,NA,NA
APP00054,SME00054,Services,Sylhet,12.7,8,9340635,2024-08-20,238343,139458,98885,3253000,60,78949,4472239,0.26,1.82,6.4,0,1,2,679,Rejected,Incomplete documentation,24.1,NA,NA,NA
APP00055,SME00055,Trading,Dhaka,4.4,37,955768,2025-05-13,19764,14227,5537,267000,12,91163,410191,1.51,0.3,3.4,0,2,0,599,Rejected,High debt-to-income,7.5,NA,NA,NA
APP00056,SME00056,Services,Barishal,0.5,8,6035084,2024-05-31,100264,81189,19075,1679000,36,160108,1789642,0.6,0.41,0.3,0,0,1,570,Rejected,High debt-to-income,15,NA,NA,NA
APP00057,SME00057,Manufacturing,Chattogram,1.4,35,1969551,2026-06-19,30791,24880,5911,345000,48,431141,371149,1.4,0.82,1,0,0,1,543,Rejected,High debt-to-income,4,NA,NA,NA
APP00058,SME00058,Trading,Dhaka,1.8,3,3492262,2024-05-20,79285,43738,35547,1990000,60,88724,2267686,0.51,1.07,1.1,1,0,3,592,Rejected,Previous default record,3.1,NA,NA,NA
APP00059,SME00059,Trading,Sylhet,4,12,1677782,2024-08-30,44122,35356,8766,277000,48,420686,377354,0.93,1.52,2.1,0,2,1,603,Rejected,High debt-to-income,3.8,NA,NA,NA
APP00060,SME00060,Manufacturing,Dhaka,2.4,2,4922782,2025-10-28,62456,29774,32682,2006000,12,94592,1274345,2.8,0.3,2.2,0,3,1,526,Rejected,High debt-to-income,4.5,NA,NA,NA
APP00061,SME00061,Manufacturing,Chattogram,2.6,9,2056513,2024-09-20,31862,14730,17132,664000,12,132536,398913,2.08,0.31,1.8,0,3,0,612,Rejected,High debt-to-income,3.5,NA,NA,NA
APP00062,SME00062,Textiles,Rajshahi,4.5,8,783428,2024-12-22,18712,9096,9616,278000,36,585310,239291,3.02,1.25,2.7,0,0,0,499,Rejected,High debt-to-income,6.9,NA,NA,NA
APP00063,SME00063,Services,Barishal,9.7,23,1526252,2025-07-02,36122,14596,21526,419000,12,226408,624713,1.49,0.62,8.9,0,2,1,684,Rejected,High debt-to-income,3.3,NA,NA,NA
APP00064,SME00064,Manufacturing,Khulna,6,7,5616688,2026-08-02,163198,82752,80446,862000,12,191982,1221795,0.54,1.12,5.9,0,5,0,662,Rejected,High debt-to-income,13.8,NA,NA,NA
APP00065,SME00065,Services,Khulna,7.1,8,420087,2025-11-01,8688,7265,1423,145000,36,168189,125424,2.08,0.35,3.7,0,3,0,601,Rejected,High debt-to-income,4.8,NA,NA,NA
APP00066,SME00066,Trading,Sylhet,17.2,4,892840,2026-03-04,11635,6091,5544,512000,60,594218,369207,4.99,0.65,14.5,0,7,0,673,Rejected,High debt-to-income,6.2,NA,NA,NA
APP00067,SME00067,Trading,Dhaka,7,18,590612,2024-12-10,15529,10552,4977,341000,60,147428,430754,1.16,0.88,6.3,0,4,0,715,Rejected,High debt-to-income,8,NA,NA,NA
APP00068,SME00068,Services,Sylhet,8,33,1704164,2025-07-18,28348,21188,7160,317000,60,1488297,435589,4.56,1.36,8,0,6,0,667,Rejected,High debt-to-income,2,NA,NA,NA
APP00069,SME00069,Manufacturing,Rajshahi,2.6,5,2571536,2025-03-03,44178,20592,23586,416000,48,25809,475564,0.24,2.72,1.6,0,0,0,621,Rejected,Incomplete documentation,19.1,NA,NA,NA
APP00070,SME00070,Trading,Barishal,13.1,2,2602013,2025-05-31,47288,24002,23286,1243000,48,90502,1150208,0.71,0.9,12.2,1,7,1,596,Rejected,Previous default record,8.2,NA,NA,NA
APP00071,SME00071,Trading,Dhaka,2.4,9,1375795,2024-12-09,23442,14029,9413,527000,12,57615,549397,2.08,0.3,1.9,0,1,1,540,Rejected,High debt-to-income,2.8,NA,NA,NA
APP00072,SME00072,Trading,Sylhet,1.7,10,456400,2024-05-18,6395,4537,1858,100000,48,120456,106033,1.9,0.89,1.1,0,0,1,617,Rejected,High debt-to-income,8.4,NA,NA,NA
APP00073,SME00073,Trading,Dhaka,15.6,4,1220433,2025-04-28,17668,11236,6432,512000,12,50271,517300,2.65,0.3,9,0,8,1,644,Rejected,High debt-to-income,14.7,NA,NA,NA
APP00074,SME00074,Retail,Dhaka,1,7,2546522,2024-10-12,64521,43276,21245,1151000,24,48347,1178156,0.81,0.44,0.9,0,1,0,615,Rejected,Incomplete documentation,7.5,NA,NA,NA
APP00075,SME00075,Trading,Chattogram,4.6,3,1442282,2026-07-14,41689,26359,15330,832000,36,26259,579055,0.61,0.66,2.5,1,1,5,478,Rejected,Previous default record,5.4,NA,NA,NA
APP00076,SME00076,Services,Rajshahi,10.5,3,1462752,2026-01-21,38267,30647,7620,388000,24,154875,579014,0.76,0.47,8.1,1,0,1,644,Approved,NA,17.9,0,0,Current
APP00077,SME00077,Trading,Sylhet,1.7,3,2466920,2024-03-21,50299,33171,17128,478000,12,174262,402024,1.08,0.43,1.2,0,2,0,558,Rejected,Insufficient collateral,4.3,NA,NA,NA
APP00078,SME00078,Retail,Khulna,2.1,5,14647388,2025-10-10,189009,143199,45810,7574000,60,318578,9436134,0.81,0.36,1.5,0,0,1,571,Rejected,High debt-to-income,5.9,NA,NA,NA
APP00079,SME00079,Manufacturing,Dhaka,4.5,5,3296646,2025-08-16,51168,29761,21407,1483000,12,105843,1883786,2.59,0.3,2.8,0,1,1,565,Rejected,High debt-to-income,5.9,NA,NA,NA
APP00080,SME00080,Trading,Khulna,1.9,21,1315695,2024-08-25,33835,23097,10738,698000,48,65979,1088751,0.59,0.74,1.3,1,0,2,526,Rejected,Previous default record,9.8,NA,NA,NA
